Date,Country,Confirmed,Recovered,Deaths,Cases
2020-01-22,Canada,0,0,0,0
2020-01-22,China,548,28,17,593
2020-01-22,France,0,0,0,0
2020-01-22,Germany,0,0,0,0
2020-01-22,US,1,0,0,1
2020-01-22,United Kingdom,0,0,0,0
2020-01-23,Canada,0,0,0,0
2020-01-23,China,643,30,18,691
2020-01-23,France,0,0,0,0
2020-01-23,Germany,0,0,0,0
2020-01-23,US,1,0,0,1
2020-01-23,United Kingdom,0,0,0,0
2020-01-24,Canada,0,0,0,0
2020-01-24,China,920,36,26,982
2020-01-24,France,2,0,0,2
2020-01-24,Germany,0,0,0,0
2020-01-24,US,2,0,0,2
2020-01-24,United Kingdom,0,0,0,0
2020-01-25,Canada,0,0,0,0
2020-01-25,China,1406,39,42,1487
2020-01-25,France,3,0,0,3
2020-01-25,Germany,0,0,0,0
2020-01-25,US,2,0,0,2
2020-01-25,United Kingdom,0,0,0,0
2020-01-26,Canada,1,0,0,1
2020-01-26,China,2075,49,56,2180
2020-01-26,France,3,0,0,3
2020-01-26,Germany,0,0,0,0
2020-01-26,US,5,0,0,5
2020-01-26,United Kingdom,0,0,0,0
2020-01-27,Canada,1,0,0,1
2020-01-27,China,2877,58,82,3017
2020-01-27,France,3,0,0,3
2020-01-27,Germany,1,0,0,1
2020-01-27,US,5,0,0,5
2020-01-27,United Kingdom,0,0,0,0
2020-01-28,Canada,2,0,0,2
2020-01-28,China,5509,101,131,5741
2020-01-28,France,4,0,0,4
2020-01-28,Germany,4,0,0,4
2020-01-28,US,5,0,0,5
2020-01-28,United Kingdom,0,0,0,0
2020-01-29,Canada,2,0,0,2
2020-01-29,China,6087,120,133,6340
2020-01-29,France,5,0,0,5
2020-01-29,Germany,4,0,0,4
2020-01-29,US,5,0,0,5
2020-01-29,United Kingdom,0,0,0,0
2020-01-30,Canada,2,0,0,2
2020-01-30,China,8141,135,171,8447
2020-01-30,France,5,0,0,5
2020-01-30,Germany,4,0,0,4
2020-01-30,US,5,0,0,5
2020-01-30,United Kingdom,0,0,0,0
2020-01-31,Canada,4,0,0,4
2020-01-31,China,9802,214,213,10229
2020-01-31,France,5,0,0,5
2020-01-31,Germany,5,0,0,5
2020-01-31,US,7,0,0,7
2020-01-31,United Kingdom,2,0,0,2
2020-02-01,Canada,4,0,0,4
2020-02-01,China,11891,275,259,12425
2020-02-01,France,6,0,0,6
2020-02-01,Germany,8,0,0,8
2020-02-01,US,8,0,0,8
2020-02-01,United Kingdom,2,0,0,2
2020-02-02,Canada,4,0,0,4
2020-02-02,China,16630,463,361,17454
2020-02-02,France,6,0,0,6
2020-02-02,Germany,10,0,0,10
2020-02-02,US,8,0,0,8
2020-02-02,United Kingdom,2,0,0,2
2020-02-03,Canada,4,0,0,4
2020-02-03,China,19716,614,425,20755
2020-02-03,France,6,0,0,6
2020-02-03,Germany,12,0,0,12
2020-02-03,US,11,0,0,11
2020-02-03,United Kingdom,2,0,0,2
2020-02-04,Canada,4,0,0,4
2020-02-04,China,23707,843,491,25041
2020-02-04,France,6,0,0,6
2020-02-04,Germany,12,0,0,12
2020-02-04,US,11,0,0,11
2020-02-04,United Kingdom,2,0,0,2
2020-02-05,Canada,5,0,0,5
2020-02-05,China,27440,1115,563,29118
2020-02-05,France,6,0,0,6
2020-02-05,Germany,12,0,0,12
2020-02-05,US,11,0,0,11
2020-02-05,United Kingdom,2,0,0,2
2020-02-06,Canada,5,0,0,5
2020-02-06,China,30587,1477,633,32697
2020-02-06,France,6,0,0,6
2020-02-06,Germany,12,0,0,12
2020-02-06,US,11,0,0,11
2020-02-06,United Kingdom,2,0,0,2
2020-02-07,Canada,7,0,0,7
2020-02-07,China,34110,1999,718,36827
2020-02-07,France,6,0,0,6
2020-02-07,Germany,13,0,0,13
2020-02-07,US,11,0,0,11
2020-02-07,United Kingdom,3,0,0,3
2020-02-08,Canada,7,0,0,7
2020-02-08,China,36814,2596,805,40215
2020-02-08,France,11,0,0,11
2020-02-08,Germany,13,0,0,13
2020-02-08,US,11,0,0,11
2020-02-08,United Kingdom,3,0,0,3
2020-02-09,Canada,7,0,0,7
2020-02-09,China,39829,3219,905,43953
2020-02-09,France,11,0,0,11
2020-02-09,Germany,14,0,0,14
2020-02-09,US,11,3,0,14
2020-02-09,United Kingdom,3,0,0,3
2020-02-10,Canada,7,0,0,7
2020-02-10,China,42354,3918,1012,47284
2020-02-10,France,11,0,0,11
2020-02-10,Germany,14,0,0,14
2020-02-10,US,11,3,0,14
2020-02-10,United Kingdom,8,0,0,8
2020-02-11,Canada,7,0,0,7
2020-02-11,China,44386,4636,1112,50134
2020-02-11,France,11,0,0,11
2020-02-11,Germany,16,0,0,16
2020-02-11,US,12,3,0,15
2020-02-11,United Kingdom,8,0,0,8
2020-02-12,Canada,7,1,0,8
2020-02-12,China,44759,5082,1117,50958
2020-02-12,France,11,2,0,13
2020-02-12,Germany,16,0,0,16
2020-02-12,US,12,3,0,15
2020-02-12,United Kingdom,9,1,0,10
2020-02-13,Canada,7,1,0,8
2020-02-13,China,59895,6217,1369,67481
2020-02-13,France,11,2,0,13
2020-02-13,Germany,16,1,0,17
2020-02-13,US,13,3,0,16
2020-02-13,United Kingdom,9,1,0,10
2020-02-14,Canada,7,1,0,8
2020-02-14,China,66358,7977,1521,75856
2020-02-14,France,11,2,0,13
2020-02-14,Germany,16,1,0,17
2020-02-14,US,13,3,0,16
2020-02-14,United Kingdom,9,1,0,10
2020-02-15,Canada,7,1,0,8
2020-02-15,China,68413,9298,1663,79374
2020-02-15,France,12,4,1,17
2020-02-15,Germany,16,1,0,17
2020-02-15,US,13,3,0,16
2020-02-15,United Kingdom,9,1,0,10
2020-02-16,Canada,7,1,0,8
2020-02-16,China,70513,10755,1766,83034
2020-02-16,France,12,4,1,17
2020-02-16,Germany,16,1,0,17
2020-02-16,US,13,3,0,16
2020-02-16,United Kingdom,9,8,0,17
2020-02-17,Canada,8,1,0,9
2020-02-17,China,72434,12462,1864,86760
2020-02-17,France,12,4,1,17
2020-02-17,Germany,16,1,0,17
2020-02-17,US,13,3,0,16
2020-02-17,United Kingdom,9,8,0,17
2020-02-18,Canada,8,1,0,9
2020-02-18,China,74211,14206,2003,90420
2020-02-18,France,12,4,1,17
2020-02-18,Germany,16,12,0,28
2020-02-18,US,13,3,0,16
2020-02-18,United Kingdom,9,8,0,17
2020-02-19,Canada,8,1,0,9
2020-02-19,China,74619,15962,2116,92697
2020-02-19,France,12,4,1,17
2020-02-19,Germany,16,12,0,28
2020-02-19,US,13,3,0,16
2020-02-19,United Kingdom,9,8,0,17
2020-02-20,Canada,8,1,0,9
2020-02-20,China,75077,18014,2238,95329
2020-02-20,France,12,4,1,17
2020-02-20,Germany,16,12,0,28
2020-02-20,US,13,3,0,16
2020-02-20,United Kingdom,9,8,0,17
2020-02-21,Canada,9,3,0,12
2020-02-21,China,75550,18704,2238,96492
2020-02-21,France,12,4,1,17
2020-02-21,Germany,16,14,0,30
2020-02-21,US,15,5,0,20
2020-02-21,United Kingdom,9,8,0,17
2020-02-22,Canada,9,3,0,12
2020-02-22,China,77001,22699,2443,102143
2020-02-22,France,12,4,1,17
2020-02-22,Germany,16,14,0,30
2020-02-22,US,15,5,0,20
2020-02-22,United Kingdom,9,8,0,17
2020-02-23,Canada,9,3,0,12
2020-02-23,China,77022,23187,2445,102654
2020-02-23,France,12,4,1,17
2020-02-23,Germany,16,14,0,30
2020-02-23,US,15,5,0,20
2020-02-23,United Kingdom,9,8,0,17
2020-02-24,Canada,10,3,0,13
2020-02-24,China,77241,25015,2595,104851
2020-02-24,France,12,4,1,17
2020-02-24,Germany,16,14,0,30
2020-02-24,US,51,5,0,56
2020-02-24,United Kingdom,13,8,0,21
2020-02-25,Canada,11,3,0,14
2020-02-25,China,77754,27676,2665,108095
2020-02-25,France,14,11,1,26
2020-02-25,Germany,17,14,0,31
2020-02-25,US,51,6,0,57
2020-02-25,United Kingdom,13,8,0,21
2020-02-26,Canada,11,3,0,14
2020-02-26,China,78166,30084,2717,110967
2020-02-26,France,18,11,2,31
2020-02-26,Germany,27,15,0,42
2020-02-26,US,57,6,0,63
2020-02-26,United Kingdom,13,8,0,21
2020-02-27,Canada,13,6,0,19
2020-02-27,China,78600,32930,2746,114276
2020-02-27,France,38,11,2,51
2020-02-27,Germany,46,16,0,62
2020-02-27,US,58,6,0,64
2020-02-27,United Kingdom,15,8,0,23
2020-02-28,Canada,14,6,0,20
2020-02-28,China,78928,36329,2790,118047
2020-02-28,France,57,11,2,70
2020-02-28,Germany,48,16,0,64
2020-02-28,US,60,7,0,67
2020-02-28,United Kingdom,20,8,0,28
2020-02-29,Canada,20,6,0,26
2020-02-29,China,79356,39320,2837,121513
2020-02-29,France,100,12,2,114
2020-02-29,Germany,79,16,0,95
2020-02-29,US,68,7,1,76
2020-02-29,United Kingdom,23,8,0,31
2020-03-01,Canada,24,6,0,30
2020-03-01,China,79932,42162,2872,124966
2020-03-01,France,130,12,2,144
2020-03-01,Germany,130,16,0,146
2020-03-01,US,74,7,1,82
2020-03-01,United Kingdom,36,8,0,44
2020-03-02,Canada,27,6,0,33
2020-03-02,China,80136,44854,2914,127904
2020-03-02,France,191,12,3,206
2020-03-02,Germany,159,16,0,175
2020-03-02,US,98,7,6,111
2020-03-02,United Kingdom,40,8,0,48
2020-03-03,Canada,30,6,0,36
2020-03-03,China,80261,47450,2947,130658
2020-03-03,France,204,12,4,220
2020-03-03,Germany,196,16,0,212
2020-03-03,US,118,7,7,132
2020-03-03,United Kingdom,51,8,0,59
2020-03-04,Canada,33,6,0,39
2020-03-04,China,80386,50001,2983,133370
2020-03-04,France,288,12,4,304
2020-03-04,Germany,262,16,0,278
2020-03-04,US,149,7,11,167
2020-03-04,United Kingdom,86,8,0,94
2020-03-05,Canada,37,6,0,43
2020-03-05,China,80537,52292,3015,135844
2020-03-05,France,380,12,6,398
2020-03-05,Germany,482,16,0,498
2020-03-05,US,219,7,12,238
